identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
login.account.buildingplus.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:56:24 UTC,2025-08-04 14:56:24 UTC
library.industrialsolutions.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:37 UTC,2025-09-08 07:17:37 UTC
pm.daas.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:56:25 UTC,2025-08-04 14:56:25 UTC
ir.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:36 UTC,2025-09-08 07:17:36 UTC
growthmeeting.events.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:11:58 UTC,2025-09-08 07:11:58 UTC
mypassword.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:56 UTC,2025-09-08 07:17:56 UTC
oldpdc.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:58 UTC,2025-09-08 07:17:58 UTC
cbol.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-31 17:15:14 UTC,2025-03-31 17:15:14 UTC
ftp.publish.library.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:26:09 UTC,2025-09-04 06:26:09 UTC
otcweb.econfigure.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:18:28 UTC,2025-09-08 07:18:28 UTC
ask-is.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-31 17:15:12 UTC,2025-03-31 17:15:12 UTC
ftp.pdc.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:26:09 UTC,2025-09-04 06:26:09 UTC
